Package ID,Date-time arrived
1,01/03/2025 01:33 AM
2,01/24/2025 08:05 AM
3,01/31/2025 10:29 AM
4,01/21/2025 07:43 PM
5,01/06/2025 01:58 AM
6,01/16/2025 03:40 AM
7,01/11/2025 10:43 PM
8,01/26/2025 04:53 PM
9,01/26/2025 11:17 PM
10,01/16/2025 11:47 AM
11,01/31/2025 07:03 AM
12,01/03/2025 07:11 PM
13,01/22/2025 12:33 AM
14,01/14/2025 03:50 PM
15,01/17/2025 06:39 AM
16,01/10/2025 05:24 PM
17,01/21/2025 06:19 AM
18,01/29/2025 04:42 AM
19,01/16/2025 11:21 PM
20,01/31/2025 06:41 PM
21,01/11/2025 08:21 PM
22,01/01/2025 06:18 AM
23,01/10/2025 08:11 PM
24,01/11/2025 03:54 AM
25,01/10/2025 12:45 AM
26,01/14/2025 05:15 AM
27,01/28/2025 10:59 AM
28,01/04/2025 07:03 PM
29,01/19/2025 01:15 PM
30,01/25/2025 10:29 PM
31,01/20/2025 03:37 PM
32,01/14/2025 11:35 PM
33,01/15/2025 07:43 AM
34,01/31/2025 06:33 PM
35,01/09/2025 01:04 AM
36,01/11/2025 05:05 AM
37,01/21/2025 03:50 PM
38,01/07/2025 02:42 PM
39,01/01/2025 12:11 AM
40,01/12/2025 04:29 PM
41,01/16/2025 08:28 PM
42,01/23/2025 03:22 AM
43,01/07/2025 07:40 AM
44,01/22/2025 05:12 PM
45,01/21/2025 12:23 AM
46,01/04/2025 12:08 AM
47,01/28/2025 06:54 AM
48,01/12/2025 04:47 AM
49,01/26/2025 06:08 PM
50,01/15/2025 02:17 PM
51,01/23/2025 02:23 AM
52,01/18/2025 09:49 PM
53,01/07/2025 12:34 AM
54,01/08/2025 12:30 PM
55,01/26/2025 11:55 PM
56,01/20/2025 05:52 AM
57,01/23/2025 03:16 AM
58,01/26/2025 10:29 AM
59,01/27/2025 08:30 AM
60,01/04/2025 08:37 AM
61,01/13/2025 07:01 PM
62,01/11/2025 04:01 AM
63,01/12/2025 03:54 AM
64,01/23/2025 12:12 PM
65,01/17/2025 05:44 AM
66,01/12/2025 03:35 AM
67,01/08/2025 03:43 AM
68,01/03/2025 10:41 PM
69,01/29/2025 03:05 AM
70,01/30/2025 05:26 PM
71,01/28/2025 09:43 AM
72,01/10/2025 02:20 AM
73,01/27/2025 09:49 AM
74,01/08/2025 06:27 PM
75,01/22/2025 04:32 PM
76,01/12/2025 04:55 AM
77,01/07/2025 06:56 PM
78,01/11/2025 11:20 PM
79,01/22/2025 05:58 AM
80,01/22/2025 11:24 AM
81,01/18/2025 07:31 PM
82,01/13/2025 09:13 PM
83,01/16/2025 07:28 AM
84,01/29/2025 07:38 PM
85,01/08/2025 10:54 PM
86,01/11/2025 12:06 AM
87,01/11/2025 08:08 PM
88,01/19/2025 10:17 PM
89,01/03/2025 08:31 PM
90,01/09/2025 09:56 PM
91,01/30/2025 03:22 AM
92,01/13/2025 08:45 PM
93,01/13/2025 07:02 PM
94,01/01/2025 03:33 PM
95,01/23/2025 12:20 PM
96,01/17/2025 04:46 PM
97,01/03/2025 02:57 PM
98,01/04/2025 11:55 PM
99,01/26/2025 06:04 PM
100,01/08/2025 06:40 AM
101,01/04/2025 08:37 PM
102,01/23/2025 02:03 AM
103,01/18/2025 02:41 PM
